Condition,Drug,Type,Reviews,Effective,Ease of Use,Satisfaction,Average Price,Form
Infectious Disease,Retapamulin 2,RX,1,4.0,4.0,4.0,363.99,Ointments
Infectious Disease,Mupirocin 5,RX,1,1.0,4.0,1.0,364.99,Others
Others,Risperidone,RX,455,2.87,3.28,2.41,39.49,Oral Solids
Others,Risperidone 2,RX,197,2.97,3.72,2.52,39.49,Oral Solids
Others,Paliperidone,RX,168,3.96,4.37,3.65,826.99,Oral Solids
Others,Risperidone 3,RX,18,2.0,2.4,1.4,39.49,Oral Solids
Others,Paliperidone 2,RX,16,4.75,4.75,4.75,826.99,Oral Solids
Infectious Disease,Oseltamivir,RX,383,3.53,3.81,3.13,101.99,Oral Solids
Infectious Disease,Zanamivir,RX,19,3.25,3.69,3.0,81.99,Others
Infectious Disease,Zanamivir 2,RX,1,1.0,1.0,1.0,81.99,Others
Chronic Disease,Dimenhydrinate,OTC,24,3.67,4.67,3.67,8.49,Oral Solids
Chronic Disease,Dimenhydrinate 2,OTC,6,5.0,5.0,5.0,8.49,Oral Solids
Chronic Disease,Dimenhydrinate 3,OTC,4,5.0,5.0,1.0,8.49,Oral Solids
Chronic Disease,Dimenhydrinate 4,OTC,1,5.0,5.0,5.0,4.0,Oral Solids
Chronic Disease,Dimenhydrinate 5,OTC,1,4.0,4.0,4.0,8.49,Oral Solids
Chronic Disease,Dimenhydrinate 6,OTC,1,3.0,5.0,2.0,8.49,Oral Solids
Infectious Disease,Fluconazole,RX,225,3.32,4.41,2.97,20.39,Oral Solids
Infectious Disease,Fluconazole 2,RX,168,3.88,4.42,3.47,20.39,Oral Solids
Infectious Disease,Nystatin,RX,124,2.73,3.68,2.52,26.99,Ointments
Infectious Disease,Clotrimazole,RX,26,2.45,3.41,2.5,35.99,Ointments
Infectious Disease,Clotrimazole 2,RX,10,3.0,4.71,3.14,35.99,Ointments
Infectious Disease,Nystatin 2,RX,4,4.5,4.5,4.0,26.99,Ointments
Infectious Disease,Nystatin 3,RX,2,5.0,5.0,5.0,26.99,Ointments
Infectious Disease,Nystatin 4,RX,1,1.0,1.0,1.0,26.99,Ointments
Infectious Disease,Nystatin 5,RX,1,2.0,2.0,1.0,26.99,Ointments
Infectious Disease,Azithromycin 4,RX,584,3.21,4.01,2.57,32.1,Oral Solids
Infectious Disease,Amoxicillin 7,RX,353,3.04,3.37,2.34,12.59,Oral Solids
Infectious Disease,Cephalexin 5,RX,348,2.93,3.47,2.24,13.82,Oral Solids
Infectious Disease,Cefdinir 3,RX,285,2.36,3.35,1.85,85.99,Oral Solids
Infectious Disease,Cephalexin 6,RX,257,2.85,3.14,2.18,13.82,Oral Solids
Infectious Disease,Clarithromycin 4,RX,233,3.45,3.23,2.63,99.49,Oral Solids
Infectious Disease,Clarithromycin 5,RX,222,3.0,3.4,2.18,99.49,Oral Solids
Infectious Disease,Cefuroxime Axetil 5,RX,156,3.15,3.06,2.33,86.99,Oral Solids
Infectious Disease,Azithromycin 5,RX,145,3.52,4.0,2.93,32.1,Oral Solids
Infectious Disease,Cefdinir 4,RX,125,2.36,3.78,1.69,85.99,Oral Solids
Infectious Disease,Cefuroxime Axetil 6,RX,97,3.23,3.62,2.85,86.99,Oral Solids
Infectious Disease,Azithromycin 6,RX,87,3.56,3.94,2.13,32.1,Oral Solids
Infectious Disease,Penicillin V Potassium,RX,84,3.18,3.61,2.82,20.19,Oral Solids
Infectious Disease,Erythromycin 9,RX,72,2.11,2.79,1.32,125.24,Oral Solids
Infectious Disease,Cefprozil,RX,37,2.75,1.88,2.0,72.99,Oral Liquids
Infectious Disease,Cefadroxil 3,RX,26,2.64,3.36,2.07,43.09,Oral Solids
Infectious Disease,Penicillin G Benzathine,RX,25,4.07,3.71,3.64,382.99,Injectables
Infectious Disease,Amoxicillin 8,RX,20,3.4,4.7,3.2,12.59,Oral Solids
Infectious Disease,Erythromycin 10,RX,19,3.8,4.0,3.4,125.24,Oral Solids
Infectious Disease,Cefprozil 2,RX,19,2.0,4.33,1.33,72.99,Oral Liquids
Infectious Disease,Cefditoren Pivoxil,RX,17,3.13,3.75,2.63,330.99,Oral Solids
Infectious Disease,Cefpodoxime,RX,15,2.67,4.33,2.33,120.79,Oral Solids
Infectious Disease,Erythromycin Stearate 7,RX,12,3.0,2.8,2.2,161.19,Oral Solids
Infectious Disease,Cefadroxil 4,RX,11,2.25,2.25,1.88,43.09,Oral Solids
Infectious Disease,Erythromycin Ethylsuccinate 13,RX,11,3.25,2.75,3.0,332.63,Oral Liquids
Infectious Disease,Penicillin G Benzathine 2,RX,11,2.8,1.8,2.4,382.99,Injectables
Infectious Disease,Amoxicillin 9,RX,11,2.33,3.67,3.0,12.59,Oral Solids
Infectious Disease,Amoxicillin 10,RX,5,3.0,5.0,3.0,12.59,Oral Solids
Infectious Disease,"Penicillin G Benzathin,Procain",RX,5,2.67,2.67,2.33,158.99,Injectables
Infectious Disease,Azithromycin 7,RX,5,2.5,3.5,1.0,32.1,Oral Solids
Infectious Disease,Erythromycin Stearate 8,RX,4,5.0,4.0,5.0,161.19,Oral Solids
Infectious Disease,Erythromycin Ethylsuccinate 14,RX,3,1.0,1.0,1.0,332.63,Oral Liquids
Infectious Disease,Penicillin V Potassium 2,RX,2,4.0,3.0,2.0,20.19,Oral Solids
Infectious Disease,Penicillin V Potassium 3,RX,2,2.0,2.0,3.0,20.19,Oral Solids
Infectious Disease,Erythromycin Ethylsuccinate 15,RX,2,4.0,4.0,4.0,332.63,Oral Liquids
Infectious Disease,Cefditoren Pivoxil 2,RX,1,4.0,4.0,2.0,330.99,Oral Solids
Infectious Disease,Erythromycin Stearate 9,RX,1,4.0,4.0,4.0,161.19,Oral Solids
Infectious Disease,Amoxicillin 11,RX,1,4.0,4.0,5.0,12.59,Oral Solids
Infectious Disease,Penicillin V Potassium 4,RX,1,3.0,5.0,3.0,20.19,Oral Solids
Infectious Disease,Cephalexin 7,RX,1,5.0,5.0,5.0,13.82,Oral Solids
Infectious Disease,Amoxicillin 12,RX,1,5.0,5.0,5.0,12.59,Oral Solids
Infectious Disease,Cephalexin 8,RX,1,2.0,5.0,1.0,13.82,Oral Solids
Infectious Disease,Amoxicillin 13,RX,1,5.0,1.0,1.0,12.59,Oral Solids
Infectious Disease,Erythromycin 11,RX,1,5.0,2.0,4.0,125.24,Oral Solids
Infectious Disease,Erythromycin Ethylsuccinate 16,RX,1,1.0,1.0,1.0,332.63,Oral Liquids
Infectious Disease,Erythromycin Ethylsuccinate 17,RX,1,3.0,3.0,3.0,332.63,Oral Liquids
Infectious Disease,Erythromycin Ethylsuccinate 18,RX,1,5.0,4.0,5.0,332.63,Oral Liquids
Chronic Disease,Simvastatin 3,RX,1028,3.06,3.83,2.14,28.99,Oral Solids
Chronic Disease,Atorvastatin 3,RX,995,3.33,3.84,2.45,249.99,Oral Solids
Chronic Disease,Rosuvastatin 3,RX,766,3.26,3.82,2.22,195.89,Oral Solids
Chronic Disease,Simvastatin 4,RX,584,3.14,3.8,2.34,28.99,Oral Solids
Chronic Disease,Telmisartan 3,RX,176,3.69,3.89,3.17,146.99,Oral Solids
Chronic Disease,Atorvastatin 4,RX,160,3.38,3.8,2.55,249.99,Oral Solids
Chronic Disease,Ramipril 2,RX,156,3.92,4.43,3.5,54.99,Oral Solids
Chronic Disease,Aspirin 20,RX/OTC,55,4.27,4.64,4.55,11.99,Oral Solids
Chronic Disease,Amlodipine-Atorvastatin 5,RX,45,3.56,4.25,3.38,146.99,Oral Solids
Chronic Disease,Evolocumab 4,RX,43,3.79,3.79,2.42,1336.12,Injectables
Chronic Disease,Rosuvastatin 4,RX,38,3.2,4.25,2.9,195.89,Oral Solids
Chronic Disease,Telmisartan 4,RX,33,3.61,3.77,3.16,146.99,Oral Solids
Chronic Disease,Fluvastatin 4,RX,19,3.71,4.36,3.21,137.99,Oral Solids
Chronic Disease,Fluvastatin 5,RX,15,2.8,3.8,2.7,127.99,Oral Solids
Chronic Disease,Amlodipine-Atorvastatin 6,RX,7,4.0,4.0,3.75,146.99,Oral Solids
Chronic Disease,Aspirin 21,OTC,5,4.0,5.0,5.0,11.99,Oral Solids
Chronic Disease,Aspirin 22,OTC,4,2.0,3.0,1.0,11.99,Oral Solids
Chronic Disease,Aspirin 23,OTC,3,4.0,4.0,4.0,11.99,Oral Solids
Chronic Disease,Fluvastatin 6,RX,3,4.5,5.0,3.5,127.99,Oral Solids
Chronic Disease,Aspirin 24,OTC,2,2.0,4.0,3.0,11.99,Oral Solids
Chronic Disease,Evolocumab 5,RX,2,4.5,4.5,4.0,1336.12,Injectables
Chronic Disease,Evolocumab 6,RX,2,5.0,5.0,5.0,1336.12,Injectables
Chronic Disease,Aspirin 25,OTC,1,1.0,1.0,1.0,11.99,Oral Solids
Chronic Disease,Aspirin 26,OTC,1,5.0,5.0,5.0,11.99,Oral Solids
Infectious Disease,Levofloxacin 11,RX,994,2.52,3.01,1.84,172.99,Oral Solids
Infectious Disease,Levofloxacin 12,RX,361,2.44,2.96,1.68,172.99,Oral Solids
Infectious Disease,Levofloxacin 13,RX,30,4.0,3.71,2.43,172.99,Oral Solids
Infectious Disease,Levofloxacin 14,RX,23,3.29,4.43,3.0,172.99,Oral Solids
Infectious Disease,Levofloxacin 15,RX,4,5.0,5.0,5.0,172.99,Oral Solids
Infectious Disease,Permethrin,RX/OTC,52,2.58,3.65,2.31,145.99,Ointments
Infectious Disease,Permethrin 2,RX,11,3.36,4.36,3.18,145.99,Ointments
Infectious Disease,Crotamiton,RX,10,4.0,4.33,3.5,606.99,Ointments
Infectious Disease,Lindane,RX,9,2.67,3.33,2.56,137.96,Oral Liquids
Infectious Disease,Lindane 2,RX,3,3.0,4.0,3.0,137.96,Oral Liquids
Infectious Disease,Permethrin 3,RX,3,1.5,5.0,1.5,145.99,Ointments
Sleep Disorders,Modafinil,RX,584,4.32,4.73,4.17,849.99,Oral Solids
Sleep Disorders,Armodafinil,RX,356,3.9,4.36,3.5,656.09,Oral Solids
Sleep Disorders,Modafinil 2,RX,84,3.97,4.56,3.72,849.99,Oral Solids
Sleep Disorders,Armodafinil 2,RX,9,4.0,4.0,3.75,656.09,Oral Solids
Pain and Inflammation,Chlorpheniram-DM-Acetaminophen 5,OTC,8,5.0,5.0,5.0,19.99,Oral Solids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 10,OTC,4,5.0,5.0,4.5,9.99,Oral Liquids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 11,OTC,3,1.0,5.0,1.0,9.99,Oral Liquids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 12,OTC,3,1.0,4.33,1.0,9.99,Oral Liquids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 13,OTC,3,2.0,1.0,1.0,9.99,Oral Liquids
Pain and Inflammation,Benzocaine,OTC,2,3.0,4.5,2.5,46.44,Ointments
Pain and Inflammation,Doxylamine-DM-Acetaminophen 14,OTC,2,1.0,1.0,1.0,6.87,Oral Liquids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 15,OTC,2,5.0,5.0,5.0,9.99,Oral Liquids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 16,OTC,2,5.0,5.0,5.0,6.87,Oral Liquids
Pain and Inflammation,Acetaminophen-DM 4,OTC,1,1.0,1.0,1.0,10.39,Oral Liquids
Pain and Inflammation,Acetaminophen-DM 5,OTC,1,5.0,5.0,5.0,10.39,Oral Liquids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 17,OTC,1,4.0,5.0,4.0,9.99,Oral Liquids
Pain and Inflammation,Chlorpheniram-DM-Acetaminophen 6,OTC,1,3.0,5.0,2.0,8.79,Oral Liquids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 18,OTC,1,5.0,5.0,5.0,9.99,Oral Liquids
Pain and Inflammation,Acetaminophen-DM 6,OTC,1,2.0,5.0,3.0,10.39,Oral Liquids
Pain and Inflammation,Chlorpheniram-DM-Acetaminophen 7,OTC,1,5.0,5.0,5.0,8.79,Oral Liquids
Sleep Disorders,Meclizine,RX,48,3.51,3.95,3.28,19.79,Oral Solids
Sleep Disorders,Meclizine 2,RX,35,3.42,4.42,3.13,19.79,Oral Solids
Sleep Disorders,Meclizine 3,OTC,29,3.8,4.2,3.5,19.79,Oral Solids
Sleep Disorders,Dimenhydrinate 7,OTC,24,3.67,4.67,3.67,8.49,Oral Solids
Sleep Disorders,Meclizine 4,OTC,8,5.0,5.0,4.5,19.79,Oral Solids
Sleep Disorders,Dimenhydrinate 8,OTC,6,5.0,5.0,5.0,8.49,Oral Solids
Sleep Disorders,Meclizine 5,OTC,6,4.33,4.33,4.0,19.79,Oral Solids
Sleep Disorders,Dimenhydrinate 9,OTC,4,5.0,5.0,1.0,8.49,Oral Solids
Sleep Disorders,Meclizine 6,RX/OTC,3,2.33,3.33,2.0,19.79,Oral Solids
Sleep Disorders,Meclizine 7,OTC,3,4.0,4.5,4.0,19.79,Oral Solids
Sleep Disorders,Meclizine 8,OTC,2,5.0,5.0,5.0,19.79,Oral Solids
Sleep Disorders,"Diphenhydramine Hcl, Dextromethorphan-Guaifenesin, Dextromethorphan Hbr",OTC,1,1.0,5.0,1.0,19.99,Oral Solids
Sleep Disorders,Meclizine 9,OTC,1,5.0,5.0,5.0,19.79,Oral Solids
Sleep Disorders,Dimenhydrinate 10,OTC,1,5.0,5.0,5.0,4.0,Oral Solids
Sleep Disorders,Dimenhydrinate 11,OTC,1,4.0,4.0,4.0,8.49,Oral Solids
Sleep Disorders,Dimenhydrinate 12,OTC,1,3.0,5.0,2.0,8.49,Oral Solids
Infectious Disease,Tioconazole,OTC,418,2.71,3.51,2.23,22.99,Others
Infectious Disease,Miconazole Nitrate,OTC,263,2.91,3.32,2.43,13.99,Ointments
Infectious Disease,Fluconazole 3,RX,225,3.32,4.41,2.97,17.99,Oral Solids
Infectious Disease,Fluconazole 4,RX,168,3.88,4.42,3.47,17.99,Oral Solids
Infectious Disease,Miconazole Nitrate 2,OTC,123,2.86,3.05,2.53,13.99,Ointments
Infectious Disease,Tioconazole 2,OTC,97,1.84,3.28,1.54,22.99,Others
Infectious Disease,Tioconazole 3,OTC,61,1.79,3.87,1.54,22.99,Others
Infectious Disease,Terconazole,RX,48,2.96,3.57,2.72,68.99,Ointments
Infectious Disease,Miconazole Nitrate 3,OTC,38,2.24,4.03,2.13,13.99,Ointments
Infectious Disease,Miconazole Nitrate 4,RX/OTC,26,2.16,3.16,2.0,13.99,Ointments
Infectious Disease,Terconazole 2,RX,16,2.0,3.06,1.88,68.99,Ointments
Infectious Disease,Miconazole Nitrate 5,RX/OTC,13,3.38,3.77,2.69,13.99,Ointments
Infectious Disease,Terconazole 3,RX,10,3.9,4.8,3.6,68.99,Ointments
Infectious Disease,Miconazole Nitrate 6,OTC,8,3.29,3.71,2.43,13.99,Ointments
Infectious Disease,Terconazole 4,RX,6,3.33,2.67,2.67,68.99,Ointments
Infectious Disease,Tioconazole 4,OTC,4,1.75,4.75,2.0,22.99,Others
Infectious Disease,Miconazole Nitrate 7,OTC,4,2.0,2.25,1.5,13.99,Ointments
Infectious Disease,Miconazole-Skin Clnsr17,OTC,4,3.0,4.75,3.0,13.99,Ointments
Infectious Disease,Miconazole Nitrate 8,OTC,3,3.33,5.0,2.0,13.99,Ointments
Infectious Disease,Clotrimazole 3,OTC,2,4.5,5.0,4.5,25.63,Ointments
Infectious Disease,Clotrimazole 4,OTC,2,4.5,4.5,4.5,25.63,Ointments
Infectious Disease,Clotrimazole 5,OTC,2,5.0,5.0,5.0,25.63,Ointments
Infectious Disease,Butoconazole Nitrate,RX,1,5.0,5.0,5.0,125.99,Others
Infectious Disease,Clotrimazole 6,OTC,1,5.0,4.0,5.0,25.63,Ointments
Infectious Disease,Butoconazole Nitrate 2,OTC,1,5.0,5.0,5.0,125.99,Others
